Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,5:40:21 PM,AAL," 234,742 ", $28.86 ,3%,DARK BLOCK,$6.7M,Equity,Airlines/Air Freight,Transport," 7,519,986 ",434,20200123
11/15/2019,11:07:26 AM,AAPL," 370,200 ", $264.40 ,1%,DARK BLOCK,$97.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,12:20:25 PM,AAPL," 275,000 ", $264.49 ,1%,DARK BLOCK,$72.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,1:07:22 PM,AAPL," 275,000 ", $264.34 ,1%,DARK BLOCK,$72.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,2:10:35 PM,AAPL," 275,000 ", $264.94 ,1%,DARK BLOCK,$72.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,3:10:01 PM,AAPL," 275,000 ", $264.95 ,1%,DARK BLOCK,$72.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,10:48:15 AM,AAPL," 200,000 ", $263.97 ,1%,BLOCK,$52.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,5:42:15 PM,AAPL," 110,933 ", $265.76 ,0%,DARK BLOCK,$29.0M,Equity,Computer Hardware & Equipment,IT Hardware," 25,125,987 ",4441,20200204
11/15/2019,4:24:49 PM,ABBV," 173,973 ", $88.63 ,2%,DARK BLOCK,$15.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 7,637,429 ",1477,20200124
11/15/2019,3:54:26 PM,ABBV," 156,613 ", $88.63 ,2%,DARK ISOAA,$13.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 7,637,429 ",1477,20200124
11/15/2019,4:02:16 PM,ABR," 455,900 ", $15.04 ,25%,DARK AVGPRC,$6.8M,Equity,REITs,Real Estate," 1,823,566 ",87,20200221
11/15/2019,4:24:49 PM,ABT," 189,459 ", $85.71 ,4%,DARK BLOCK,$16.0M,Equity,Medical Instruments & Equipment,Health Care Equipment," 4,889,872 ",1756,20200122
11/15/2019,9:46:03 AM,ACWI," 1,077,142 ", $77.14 ,54%,DARK ISOBB,$83.0M,ETF/Fund,ETFs,Miscellaneous," 2,011,903 ",141,N/A
11/15/2019,10:37:43 AM,ACWI," 136,183 ", $77.20 ,7%,DARK ISOAA,$10.0M,ETF/Fund,ETFs,Miscellaneous," 2,011,903 ",141,N/A
11/15/2019,4:00:18 PM,ACWX," 795,000 ", $48.16 ,71%,DARK BLOCK,$38.0M,ETF/Fund,ETFs,Miscellaneous," 1,114,567 ",85,N/A
11/15/2019,2:51:58 PM,ACWX," 120,809 ", $48.12 ,11%,DARK ISO,$5.8M,ETF/Fund,ETFs,Miscellaneous," 1,114,567 ",85,N/A
11/15/2019,5:51:28 PM,ADM," 204,788 ", $42.87 ,8%,DARK BLOCK,$8.7M,Equity,Food,Food & Beverage," 2,652,452 ",550,20200204
11/15/2019,4:00:03 PM,ADSK," 156,086 ", $161.75 ,12%,DARK BLOCK,$25.0M,Equity,Internet & Software,IT Services & Software," 1,279,512 ",219,20191126
11/15/2019,4:24:49 PM,ADSK," 113,516 ", $161.75 ,9%,DARK BLOCK,$18.0M,Equity,Internet & Software,IT Services & Software," 1,279,512 ",219,20191126
11/15/2019,4:01:38 PM,ADSW," 154,216 ", $32.81 ,15%,DARK BLOCK,$5.0M,Equity,Miscellaneous Consumer Services,Consumer Services," 1,028,392 ",89,20200220
11/15/2019,4:07:04 PM,AEP," 271,282 ", $89.56 ,11%,DARK BLOCK,$24.0M,Equity,Electric Utilities,Electric Utilities," 2,361,961 ",493,20200123
11/15/2019,12:35:16 PM,AEP," 138,925 ", $89.13 ,6%,DARK AVGPRC,$12.0M,Equity,Electric Utilities,Electric Utilities," 2,361,961 ",493,20200123
11/15/2019,4:08:03 PM,AES," 290,971 ", $18.43 ,6%,DARK AVGPRC,$5.3M,Equity,Electric Utilities,Electric Utilities," 5,069,340 ",656,20200226
11/15/2019,5:13:50 PM,AGG," 500,000 ", $112.41 ,17%,DARK BLOCK,$56.0M,ETF/Fund,ETFs,Miscellaneous," 2,959,950 ",586,N/A
11/15/2019,5:54:49 PM,AGG," 500,000 ", $112.41 ,17%,DARK BLOCK,$56.0M,ETF/Fund,ETFs,Miscellaneous," 2,959,950 ",586,N/A
11/15/2019,4:00:10 PM,AGG," 158,426 ", $112.41 ,5%,DARK BLOCK,$17.0M,ETF/Fund,ETFs,Miscellaneous," 2,959,950 ",586,N/A
11/15/2019,5:42:08 PM,AGG," 135,361 ", $112.41 ,5%,DARK BLOCK,$15.0M,ETF/Fund,ETFs,Miscellaneous," 2,959,950 ",586,N/A
11/15/2019,11:28:57 AM,AGGY," 343,392 ", $52.09 ,152%,DARK ISO,$17.0M,ETF/Fund,ETFs,Miscellaneous," 225,439 ",19,N/A
11/15/2019,4:25:03 PM,AGN," 724,400 ", $183.61 ,34%,DARK BLOCK,$133.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 2,155,015 ",328,20200204
11/15/2019,12:15:16 PM,AGRX," 3,000,000 ", $1.72 ,34%,DARK BLOCK,$5.1M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 8,737,246 ",54,20200310
11/15/2019,12:28:21 PM,ALC," 491,271 ", $58.65 ,59%,DARK BLOCK,$28.0M,Equity,Medical Instruments & Equipment,Health Care Equipment," 836,408 ",0,20191119
11/15/2019,10:27:20 AM,ALC," 390,000 ", $58.73 ,47%,DARK BLOCK,$22.0M,Equity,Medical Instruments & Equipment,Health Care Equipment," 836,408 ",0,20191119
11/15/2019,11:29:29 AM,ALC," 150,000 ", $58.65 ,18%,DARK BLOCK,$8.7M,Equity,Medical Instruments & Equipment,Health Care Equipment," 836,408 ",0,20191119
11/15/2019,8:00:04 AM,ALC," 138,000 ", $58.72 ,16%,DARK BLOCK,$8.1M,Equity,Medical Instruments & Equipment,Health Care Equipment," 836,408 ",0,20191119
11/15/2019,4:02:05 PM,ALC," 118,600 ", $58.83 ,14%,DARK AVGPRC,$6.9M,Equity,Medical Instruments & Equipment,Health Care Equipment," 836,408 ",0,20191119
11/15/2019,3:54:42 PM,ALC," 100,000 ", $58.85 ,12%,DARK BLOCK,$5.8M,Equity,Medical Instruments & Equipment,Health Care Equipment," 836,408 ",0,20191119
11/15/2019,3:01:05 PM,ALEC," 448,400 ", $15.99 ,200%,DARK BLOCK,$7.1M,Equity,Biotechnology,Pharmaceuticals & Biotechnology," 223,789 ",68,20200324
11/15/2019,4:00:30 PM,ALLY," 388,599 ", $30.87 ,10%,DARK BLOCK,$11.0M,Equity,Credit & Lending,Credit & Lending," 3,786,804 ",378,20200129
11/15/2019,1:18:32 PM,ALSN," 1,800,000 ", $46.50 ,179%,DARK BLOCK,$83.0M,Equity,Auto Parts,Autos & Auto Parts," 1,007,271 ",108,20200224
11/15/2019,1:50:57 PM,ALSN," 645,000 ", $46.50 ,64%,DARK BLOCK,$29.0M,Equity,Auto Parts,Autos & Auto Parts," 1,007,271 ",108,20200224
11/15/2019,3:57:03 PM,ALSN," 316,115 ", $46.50 ,31%,DARK BLOCK,$14.0M,Equity,Auto Parts,Autos & Auto Parts," 1,007,271 ",108,20200224
11/15/2019,1:35:00 PM,ALSN," 158,628 ", $46.50 ,16%,DARK BLOCK,$7.3M,Equity,Auto Parts,Autos & Auto Parts," 1,007,271 ",108,20200224
11/15/2019,3:57:07 PM,ALSN," 109,413 ", $46.50 ,11%,DARK BLOCK,$5.0M,Equity,Auto Parts,Autos & Auto Parts," 1,007,271 ",108,20200224
11/15/2019,4:00:12 PM,AMAT," 504,294 ", $62.06 ,8%,DARK BLOCK,$31.0M,Equity,Semiconductors,IT Hardware," 6,291,822 ",919,20200213
11/15/2019,10:57:48 AM,AMAT," 166,750 ", $62.66 ,3%,DARK BLOCK,$10.0M,Equity,Semiconductors,IT Hardware," 6,291,822 ",919,20200213
11/15/2019,10:10:04 AM,AMAT," 150,000 ", $61.89 ,2%,DARK ISOBB,$9.2M,Equity,Semiconductors,IT Hardware," 6,291,822 ",919,20200213
11/15/2019,11:04:16 AM,AMAT," 105,500 ", $62.80 ,2%,DARK BLOCK,$6.6M,Equity,Semiconductors,IT Hardware," 6,291,822 ",919,20200213
11/15/2019,11:44:34 AM,AMAT," 102,000 ", $62.35 ,2%,DARK AVGPRC,$6.3M,Equity,Semiconductors,IT Hardware," 6,291,822 ",919,20200213
11/15/2019,4:00:11 PM,AMBA," 193,700 ", $58.39 ,28%,DARK AVGPRC,$11.0M,Equity,Semiconductors,IT Hardware," 680,122 ",30,20191125
11/15/2019,4:44:33 PM,AMD," 375,664 ", $38.56 ,1%,DARK BLOCK,$14.0M,Equity,Semiconductors,IT Hardware," 51,618,530 ",1096,20200204
11/15/2019,4:24:07 PM,AMD," 350,500 ", $38.56 ,1%,DARK BLOCK,$13.0M,Equity,Semiconductors,IT Hardware," 51,618,530 ",1096,20200204
11/15/2019,4:00:04 PM,AMGN," 132,595 ", $220.86 ,6%,DARK BLOCK,$29.0M,Equity,Biotechnology,Pharmaceuticals & Biotechnology," 2,236,021 ",592,20200204
11/15/2019,5:40:22 PM,AMZN," 58,562 "," $1,739.49 ",2%,DARK BLOCK,$101.0M,Equity,Retail - Specialty,Retail," 2,844,970 ",415,20200130
11/15/2019,4:24:49 PM,AMZN," 50,113 "," $1,739.49 ",2%,DARK BLOCK,$87.0M,Equity,Retail - Specialty,Retail," 2,844,970 ",415,20200130
11/15/2019,4:00:12 PM,AMZN," 32,920 "," $1,739.49 ",1%,DARK BLOCK,$57.0M,Equity,Retail - Specialty,Retail," 2,844,970 ",415,20200130
11/15/2019,11:28:24 AM,APTV," 140,000 ", $92.58 ,12%,DARK BLOCK,$12.0M,Equity,Auto Parts,Autos & Auto Parts," 1,193,470 ",255,20200130
11/15/2019,11:57:47 AM,APTV," 104,600 ", $92.64 ,9%,DARK BLOCK,$9.6M,Equity,Auto Parts,Autos & Auto Parts," 1,193,470 ",255,20200130
11/15/2019,5:40:22 PM,ARNC," 279,322 ", $30.86 ,10%,DARK BLOCK,$8.6M,Equity,Non-Precious Metals,Metals & Mining," 2,807,865 ",432,20200214
11/15/2019,11:08:37 AM,ARNC," 220,000 ", $30.72 ,8%,DARK BLOCK,$6.7M,Equity,Non-Precious Metals,Metals & Mining," 2,807,865 ",432,20200214
11/15/2019,11:54:22 AM,ARNC," 198,800 ", $30.80 ,7%,DARK ISOAA,$6.1M,Equity,Non-Precious Metals,Metals & Mining," 2,807,865 ",432,20200214
11/15/2019,10:36:16 AM,ARNC," 195,771 ", $30.54 ,7%,DARK BLOCK,$5.9M,Equity,Non-Precious Metals,Metals & Mining," 2,807,865 ",432,20200214
11/15/2019,1:24:36 PM,ARNC," 162,500 ", $30.80 ,6%,DARK BLOCK,$5.0M,Equity,Non-Precious Metals,Metals & Mining," 2,807,865 ",432,20200214
11/15/2019,5:38:08 PM,ARWR," 300,000 ", $47.44 ,21%,DARK BLOCK,$14.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 1,429,159 ",94,20191125
11/15/2019,4:03:00 PM,ASH," 328,603 ", $78.85 ,77%,DARK BLOCK,$25.0M,Equity,Specialty Chemicals,Chemicals," 427,174 ",60,20191118
11/15/2019,4:01:24 PM,ATH," 153,850 ", $43.89 ,9%,DARK BLOCK,$6.7M,Equity,Life & Health,Insurance," 1,697,481 ",187,20200224
11/15/2019,4:01:22 PM,ATH," 150,002 ", $43.89 ,9%,DARK BLOCK,$6.5M,Equity,Life & Health,Insurance," 1,697,481 ",187,20200224
11/15/2019,4:01:46 PM,ATUS," 825,802 ", $26.88 ,13%,DARK BLOCK,$22.0M,Equity,Radio & Television,Media," 6,417,130 ",647,20200220
11/15/2019,1:08:37 PM,ATUS," 770,000 ", $26.40 ,12%,DARK BLOCK,$20.0M,Equity,Radio & Television,Media," 6,417,130 ",647,20200220
11/15/2019,12:53:03 PM,ATUS," 499,800 ", $26.38 ,8%,DARK ISO,$13.0M,Equity,Radio & Television,Media," 6,417,130 ",647,20200220
11/15/2019,3:31:58 PM,ATUS," 250,000 ", $26.75 ,4%,DARK AVGPRC,$6.6M,Equity,Radio & Television,Media," 6,417,130 ",647,20200220
11/15/2019,12:30:08 PM,AVP," 1,275,280 ", $4.42 ,22%,DARK ISO,$5.6M,Equity,Household & Personal Products,Household & Personal Products," 5,672,297 ",434,20200213
11/15/2019,4:02:05 PM,AWR," 132,000 ", $84.04 ,49%,DARK AVGPRC,$11.0M,Equity,Water Utilities,Water Utilities," 271,634 ",36,20200224
11/15/2019,4:02:05 PM,AXE," 239,000 ", $86.20 ,50%,DARK AVGPRC,$20.0M,Equity,Electrical Equipment,Electrical Equipment," 477,920 ",30,20200204
11/15/2019,4:04:47 PM,AXL," 663,800 ", $9.96 ,25%,DARK AVGPRC,$6.6M,Equity,Auto Parts,Autos & Auto Parts," 2,655,000 ",111,20200221
11/15/2019,11:00:14 AM,AZN," 189,119 ", $47.25 ,6%,DARK ISOAA,$8.9M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 3,102,856 ",2623,20200213
11/15/2019,5:40:22 PM,BABA," 495,458 ", $185.49 ,3%,DARK BLOCK,$91.0M,Equity,Internet & Software,IT Services & Software," 14,585,377 ",2226,20200129
11/15/2019,5:43:42 PM,BAC," 1,150,000 ", $32.93 ,2%,DARK AVGPRC,$37.0M,Equity,Banking,Banking & Savings," 50,856,011 ",8979,20200115
11/15/2019,1:47:05 PM,BAC," 500,000 ", $32.88 ,1%,BLOCK,$16.0M,Equity,Banking,Banking & Savings," 50,856,011 ",8979,20200115
11/15/2019,4:00:13 PM,BAC," 320,066 ", $32.93 ,1%,DARK BLOCK,$10.0M,Equity,Banking,Banking & Savings," 50,856,011 ",8979,20200115
11/15/2019,5:51:28 PM,BBT," 158,601 ", $54.61 ,3%,DARK BLOCK,$8.6M,Equity,Banking,Banking & Savings," 4,616,664 ",762,20200116
11/15/2019,2:44:59 PM,BDSI," 1,500,000 ", $6.00 ,128%,DARK BLOCK,$9.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 1,169,325 ",81,20200312
11/15/2019,11:16:28 AM,BIL," 1,085,295 ", $91.50 ,70%,DARK BLOCK,$99.0M,ETF/Fund,ETFs,Miscellaneous," 1,546,355 ",91,N/A
11/15/2019,1:34:59 PM,BIL," 319,220 ", $91.51 ,21%,DARK BLOCK,$29.0M,ETF/Fund,ETFs,Miscellaneous," 1,546,355 ",91,N/A
11/15/2019,10:05:51 AM,BIV," 218,700 ", $87.38 ,31%,DARK BLOCK,$19.0M,ETF/Fund,ETFs,Miscellaneous," 707,357 ",147,20041115
11/15/2019,4:02:53 PM,BK," 177,603 ", $48.57 ,3%,DARK BLOCK,$8.6M,Equity,Banking,Banking & Savings," 6,050,863 ",906,20200115
11/15/2019,4:02:16 PM,BKI," 128,400 ", $60.34 ,12%,DARK BLOCK,$7.7M,Equity,Internet & Software,IT Services & Software," 1,036,137 ",149,20200212
11/15/2019,5:40:21 PM,BKR," 261,599 ", $22.69 ,6%,DARK BLOCK,$5.9M,Equity,Equipment & Services,Oil & Gas," 4,138,857 ",1027,20200130
11/15/2019,4:13:19 PM,BLL," 127,300 ", $65.60 ,6%,DARK AVGPRC,$8.3M,Equity,Metal Products,Metals & Mining," 2,183,479 ",321,20200130
11/15/2019,2:32:01 PM,BLUE," 1,075,922 ", $75.00 ,125%,DARK ISOBB,$80.0M,Equity,Biotechnology,Pharmaceuticals & Biotechnology," 861,449 ",53,20200220
11/15/2019,3:48:47 PM,BMY," 300,000 ", $58.60 ,2%,DARK BLOCK,$17.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 12,209,641 ",1627,20200123
11/15/2019,3:57:32 PM,BMY," 207,235 ", $58.59 ,2%,DARK ISOAA,$12.0M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 12,209,641 ",1627,20200123
11/15/2019,11:53:11 AM,BMY," 100,000 ", $58.55 ,1%,DARK BLOCK,$5.8M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 12,209,641 ",1627,20200123
11/15/2019,2:29:26 PM,BND," 255,636 ", $83.83 ,9%,DARK ISOBB,$21.0M,ETF/Fund,ETFs,Miscellaneous," 2,929,705 ",538,20010402
11/15/2019,4:24:49 PM,BR," 127,661 ", $119.80 ,22%,DARK BLOCK,$15.0M,Equity,Finance Intermediaries & Services,Investments & Brokers," 583,644 ",112,20200206
11/15/2019,10:16:10 AM,BRK.B," 115,000 ", $219.78 ,3%,DARK BLOCK,$25.0M,Equity,General Insurance,Insurance," 3,368,701 ",2302,20200228
11/15/2019,10:34:57 AM,BSCM," 646,400 ", $21.50 ,280%,DARK BLOCK,$13.0M,ETF/Fund,ETFs,Miscellaneous," 230,600 ",68,N/A
11/15/2019,10:35:16 AM,BTI," 198,000 ", $36.63 ,12%,DARK BLOCK,$7.2M,Equity,Tobacco Products,Tobacco," 1,718,720 ",2130,TBA
11/15/2019,4:02:23 PM,BX," 537,200 ", $52.52 ,12%,DARK AVGPRC,$28.0M,Equity,Wealth Management,Investments & Brokers," 4,559,406 ",661,20200130
11/15/2019,4:03:25 PM,C," 157,864 ", $74.40 ,1%,DARK BLOCK,$11.0M,Equity,Banking,Banking & Savings," 11,937,494 ",2181,20200113
11/15/2019,4:03:46 PM,CAG," 208,797 ", $28.81 ,6%,DARK BLOCK,$6.0M,Equity,Food,Food & Beverage," 3,659,663 ",482,20191219
11/15/2019,4:13:19 PM,CAH," 100,900 ", $56.24 ,4%,DARK AVGPRC,$5.6M,Equity,Pharmaceuticals,Pharmaceuticals & Biotechnology," 2,874,812 ",291,20200206
