Date,Timestamp, Ticker,  Message ,  Price , % of Vol , Block Type , Value , SecurityType, Industry, Sector,  30DayAverage , Float, EarningsDate
11/15/2019,2:58:06 PM,XBI," 131,300 ", $84.72 ,3%,DARK ISOAA,$11.0M,ETF/Fund,ETFs,Miscellaneous," 4,287,309 ",45,N/A
11/15/2019,4:00:06 PM,XBI," 100,000 ", $84.79 ,2%,DARK BLOCK,$8.4M,ETF/Fund,ETFs,Miscellaneous," 4,287,309 ",45,N/A
11/15/2019,4:00:06 PM,XLB," 300,000 ", $60.36 ,6%,DARK BLOCK,$18.0M,ETF/Fund,ETFs,Miscellaneous," 4,998,921 ",61,N/A
11/15/2019,4:11:15 PM,XLC," 300,000 ", $51.99 ,12%,DARK BLOCK,$15.0M,ETF/Fund,,," 2,526,457 ",125,N/A
11/15/2019,4:11:11 PM,XLC," 200,000 ", $51.99 ,8%,DARK BLOCK,$10.0M,ETF/Fund,,," 2,526,457 ",125,N/A
11/15/2019,5:43:05 PM,XLE," 724,743 ", $60.08 ,5%,DARK BLOCK,$43.0M,ETF/Fund,ETFs,Miscellaneous," 13,670,371 ",177,20060516
11/15/2019,4:11:04 PM,XLE," 100,000 ", $60.10 ,1%,DARK BLOCK,$6.0M,ETF/Fund,ETFs,Miscellaneous," 13,670,371 ",177,20060516
11/15/2019,4:26:58 PM,XLF," 700,000 ", $29.75 ,2%,DARK BLOCK,$20.0M,ETF/Fund,ETFs,Miscellaneous," 45,544,109 ",831,20060516
11/15/2019,5:27:31 PM,XLF," 174,355 ", $29.75 ,0%,DARK BLOCK,$5.1M,ETF/Fund,ETFs,Miscellaneous," 45,544,109 ",831,20060516
11/15/2019,9:34:51 AM,XLK," 100,000 ", $86.94 ,1%,DARK BLOCK,$8.6M,ETF/Fund,ETFs,Miscellaneous," 9,117,977 ",282,20060516
11/15/2019,4:00:06 PM,XLP," 500,000 ", $61.33 ,5%,DARK BLOCK,$30.0M,ETF/Fund,ETFs,Miscellaneous," 10,436,634 ",215,N/A
11/15/2019,4:11:23 PM,XLP," 228,294 ", $61.35 ,2%,DARK BLOCK,$14.0M,ETF/Fund,ETFs,Miscellaneous," 10,436,634 ",215,N/A
11/15/2019,12:09:53 PM,XLP," 197,934 ", $61.20 ,2%,DARK ISOBB,$12.0M,ETF/Fund,ETFs,Miscellaneous," 10,436,634 ",215,N/A
11/15/2019,5:40:21 PM,XLU," 261,332 ", $62.85 ,2%,DARK BLOCK,$16.0M,ETF/Fund,ETFs,Miscellaneous," 16,328,206 ",183,20060516
11/15/2019,4:00:06 PM,XLU," 100,000 ", $62.85 ,1%,DARK BLOCK,$6.2M,ETF/Fund,ETFs,Miscellaneous," 16,328,206 ",183,20060516
